"##characteristics#run#accuracy_ate_max#max";"##characteristics#run#execution_time_kernel_0#center";"##characteristics#run#execution_time_kernel_0#halfrange"
0.011914;7.072908;1.513342
0.011963;0.532142;0.000732
0.016523;3.321274;0.136647
0.00724;9.313096;2.036263
0.015212;0.4012105;0.0009915
0.010317;2.1796615;0.8078205
0.010144;1.7068405;0.1911015
0.008856;4.7099835;0.6485985
0.008608;0.702796;0.002486
0.010318;0.7077275;0.0013255
0.009006;2.7397255;0.1913635
0.007706;18.228329;2.269259
0.010381;2.469177;0.84473
0.011914;7.8153885;2.5340225
0.010859;1.8234;0.239147
0.008171;18.5663025;1.8408245
0.00955;5.5369035;0.2238555
0.009211;5.1524765;0.2635735
0.010298;0.7393275;0.0025055
0.016223;2.5687935;0.1034545
0.015625;0.4392775;0.0013025
0.007303;11.187645;1.196368
0.010482;0.680956;0.003915
0.008808;4.7004895;0.0882715
0.009826;5.204602;0.721156
0.010853;3.082633;0.883412
0.008956;5.103034;0.147753
0.018109;0.4018825;0.0063495
0.013997;0.438597;0.001342
0.009352;4.691325;0.25002
0.011969;0.551051;0.001844
0.028058;0.3805275;0.0030035
0.008134;4.9856435;0.1125505
0.020553;0.3840195;0.0030675
0.009468;6.1718605;0.1514555
0.008023;17.01755;1.028926
0.007161;8.726649;0.844397
0.00855;5.395531;0.227168
0.011963;0.532142;0.000732
0.00724;9.313096;2.036263
0.015212;0.4012105;0.0009915
0.008608;0.702796;0.002486
0.010482;0.680956;0.003915
0.018109;0.4018825;0.0063495
0.013997;0.438597;0.001342
0.028058;0.3805275;0.0030035
0.008134;4.9856435;0.1125505
0.020553;0.3840195;0.0030675
0.007161;8.726649;0.844397

